Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,,,,,,,,,,,their numbers loaded or their
"",,,,,,,,,,,,,,checklist complete so they were
"",,,,,,,,,,,,,,not ready to close doors or
"",,,,,,,,,,,,,,release breaks
MCI,DAL,1365,N8562Z,4:18 AM,5:00 AM,5:02 AM,146,6:00 AM,6:02 AM,6:04 AM,2,4,TR04,Captain conferring with MX and
"",,,,,,,,,,,,,,MX Control about missing
"",,,,,,,,,,,,,,checklist (item not required) -- F/O
"",,,,,,,,,,,,,,initially removed checklist from
"",,,,,,,,,,,,,,different A/C (returned) --- FS
"",,,,,,,,,,,,,,0529 LS 0556 PWB 0600
MDW,LAX,149,N8678E,3:57 AM,4:36 AM,4:40 AM,171,5:40 AM,5:40 AM,5:50 AM,0,10,TR20,F/S 5:10 L/S 5:33 PWB 5:36
"",,,,,,,,,,,,,,DOORS CLOSED  5:40  DEICING
"",,,,,,,,,,,,,,AT THE GATE MANAGER GRACE
"",,,,,,,,,,,,,,AND  SUPERVISOR VICTORIA
"",,,,,,,,,,,,,,PRESENT
MDW,BOS,912,N8626B,4:08 AM,4:41 AM,4:46 AM,98,5:45 AM,5:46 AM,5:48 AM,1,3,TR09,FS 517 LS 0533 F/A CALLED MX
"",,,,,,,,,,,,,,FOR DEMO MASK 4 MIN BEFORE
"",,,,,,,,,,,,,,PUSH TIME SUP MALISSA
"",,,,,,,,,,,,,,ADVISED
MDW,IAD,8018,N8761L,4:45 AM,5:40 AM,5:49 AM,174,6:45 AM,6:49 AM,6:52 AM,4,7,CM02,FS 0554...LS 0636...PWB
"",,,,,,,,,,,,,,0640....HONOR FLIGHT....WTG
"",,,,,,,,,,,,,,FOR PAX TO BE SEATED...MGR
"",,,,,,,,,,,,,,KAREN ADVISED
MDW,BWI,2386,N8524Z,4:10 AM,5:30 AM,5:31 AM,84,6:40 AM,6:31 AM,6:42 AM,0,2,TR20,fs/609 ls/618 DOORS CLOSED ON
"",,,,,,,,,,,,,,TIME .. SUP CLETUS ADVISED ..
MDW,HOU,1697,N8778Q,3:36 AM,4:26 AM,4:38 AM,163,5:30 AM,5:38 AM,5:39 AM,8,9,TR09,Fa handed out several seat belt
"",,,,,,,,,,,,,,ext waiting on mx to bring 2 more
"",,,,,,,,,,,,,,to gate. Notified ops agent at 26
"",,,,,,,,,,,,,,as ewb sent. Sup Dee at gate and
"",,,,,,,,,,,,,,adv
MKE,BNA,3193,N7738A,3:55 AM,4:42 AM,4:45 AM,140,5:45 AM,5:45 AM,5:54 AM,0,9,TR20,Running engine #2. Cold temps
"",,,,,,,,,,,,,,causing fuel to drip. Engine run for
"",,,,,,,,,,,,,,5 mins solved the issue.
MKE,BWI,1331,N8544Z,3:59 AM,4:39 AM,4:45 AM,169,5:45 AM,5:45 AM,5:46 AM,0,1,,
OMA,DEN,1967,N8784Q,4:15 AM,5:16 AM,5:20 AM,167,6:15 AM,6:20 AM,6:20 AM,5,5,TR09,D FA  was hereABC FA  showed
"",,,,,,,,,,,,,,up at boardingand I was not told
"",,,,,,,,,,,,,,they were ready until 0553First
"",,,,,,,,,,,,,,0554  last0615pwb0616  c
"",,,,,,,,,,,,,,0620
OMA,MDW,1972,N7819A,4:15 AM,5:16 AM,5:18 AM,110,6:20 AM,6:18 AM,6:21 AM,0,1,,
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
ORF,BWI,410,N8306H,3:13 AM,4:33 AM,4:37 AM,145,5:20 AM,5:37 AM,5:41 AM,17,21,TR03,Crew late stuck in traffic dispatch
"",,,,,,,,,,,,,,adv us scans 0614/0629 duty sup
"",,,,,,,,,,,,,,Sarah adv
ORF,MDW,1939,N944WN,2:28 AM,3:26 AM,3:26 AM,139,4:25 AM,4:26 AM,4:29 AM,1,4,TR14,FS 0456 LS 0516 SCANNER INOP.
"",,,,,,,,,,,,,,RESCAN BAGS. RAMP CLSD
"",,,,,,,,,,,,,,0525. ADVS DUTY SUP SARAH
PHL,ATL,840,N447WN,2:26 AM,3:33 AM,3:37 AM,131,4:35 AM,4:37 AM,4:38 AM,2,3,TR09,FS 0511 LS 0529 CLEARED TO
"",,,,,,,,,,,,,,BOARD 511 EXIT ROWS BEING
"",,,,,,,,,,,,,,BRIEFED
PHL,STL,1347,N1801U,3:26 AM,4:24 AM,4:30 AM,135,5:30 AM,5:30 AM,5:32 AM,0,2,,
PIT,ATL,1454,N8502Z,4:53 AM,5:50 AM,5:54 AM,169,6:50 AM,6:54 AM,6:54 AM,4,4,OP10,common use gate computers not
"",,,,,,,,,,,,,,working at A11 or A13 had to
"",,,,,,,,,,,,,,board manually at another gate
"",,,,,,,,,,,,,,and send numbers from A7
PIT,DEN,2177,N8531Q,2:10 AM,3:18 AM,3:21 AM,171,4:00 AM,4:21 AM,4:24 AM,21,24,OP10,no internet out of  boarding gate.
"",,,,,,,,,,,,,,Had to manual board and do
"",,,,,,,,,,,,,,numbers out of  another gate.
"",,,,,,,,,,,,,,Numbers were sent and last
"",,,,,,,,,,,,,,minute 2 fams decided they could
"",,,,,,,,,,,,,,not go partner missed flight.
PIT,BNA,2171,N8324A,3:14 AM,4:10 AM,4:14 AM,170,5:15 AM,5:14 AM,5:16 AM,0,1,,
PIT,BWI,676,N8686A,3:06 AM,3:57 AM,4:00 AM,167,5:00 AM,5:00 AM,5:04 AM,0,4,TR20,"door:00, waiting for ac to push"
"",,,,,,,,,,,,,,from gate
RDU,BWI,2209,N475WN,5:44 AM,5:59 AM,6:02 AM,134,5:35 AM,7:02 AM,7:03 AM,87,88,MX02,Humming in headsets.
RDU,BNA,1707,N8645A,3:55 AM,4:54 AM,4:59 AM,172,5:45 AM,5:59 AM,6:03 AM,14,18,MX02,HAD  TO RUN UP ENGINE #2
"",,,,,,,,,,,,,,BEFORE BOARDING DUE TO
"",,,,,,,,,,,,,,FUEL LEAK
RDU,MCO,2580,N234WN,2:48 AM,3:42 AM,3:46 AM,142,4:45 AM,4:46 AM,4:48 AM,1,3,TR03,PILOTS SHOWED UP AT 0517
"",,,,,,,,,,,,,,FS 0520 LS 0536 WITH FULL
"",,,,,,,,,,,,,,JETBRIDGE
RDU,MDW,820,N933WN,3:23 AM,4:11 AM,4:15 AM,140,5:15 AM,5:15 AM,5:20 AM,0,5,TR20,Crew arrived 0547 For 0615
"",,,,,,,,,,,,,,Departure. FS 0551 LS 0609
"",,,,,,,,,,,,,,Ramp closed 0610 Door closed
"",,,,,,,,,,,,,,0615 CA released breaks 0620
RIC,ATL,2852,N267WN,4:11 AM,4:25 AM,4:27 AM,94,5:05 AM,5:27 AM,5:30 AM,22,25,DP01,DISPATCH SENT THE
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
SAT,ATL,1655,N919WN,4:45 AM,5:40 AM,5:45 AM,140,6:30 AM,6:45 AM,6:46 AM,15,16,SD01,fs0615ls0634 ac was towed in with
"",,,,,,,,,,,,,,miss place sec door seals witch
"",,,,,,,,,,,,,,req a full sweep
SAT,LAS,2321,N8723Q,3:40 AM,4:35 AM,4:36 AM,171,5:35 AM,5:36 AM,5:38 AM,1,3,TR09,fs0511/ls0536 start of  boarding
"",,,,,,,,,,,,,,delayed waiting for ok to board
"",,,,,,,,,,,,,,and ok to close door flt attend
"",,,,,,,,,,,,,,briefing the exit row
SAT,BWI,3197,N8618N,3:01 AM,3:56 AM,4:00 AM,151,5:00 AM,5:00 AM,5:08 AM,0,8,TR20,"Doors closed ontime, engine"
"",,,,,,,,,,,,,,runup to check fuel drip. FS:38
"",,,,,,,,,,,,,,LS:51
SLC,DAL,1425,N8584Z,-,5:30 AM,5:35 AM,165,6:30 AM,6:35 AM,6:35 AM,5,5,TR09,FA-A didnt show up till board time
"",,,,,,,,,,,,,,and wasnt ready to board till a few
"",,,,,,,,,,,,,,minutes after schedueled
"",,,,,,,,,,,,,,boarding time.
"",,,,,,,,,,,,,,Flight crew not ready to close fwd
"",,,,,,,,,,,,,,entry door @ time of  push
STL,DAL,2372,N497WN,3:39 AM,4:49 AM,4:54 AM,96,5:40 AM,5:54 AM,5:57 AM,14,17,MX02,fs: 0512 ls: 0524 pwb sent 0549
"",,,,,,,,,,,,,,"mx issue, mx came out, crew"
"",,,,,,,,,,,,,,"deferred, second release printed"
STL,MCO,418,N296WN,4:00 AM,5:29 AM,5:32 AM,139,6:25 AM,6:32 AM,6:33 AM,7,8,SD01,FAMILY PARTY OF 6 CHECKED IN
"",,,,,,,,,,,,,,AT 0525.  TSA LONG LINES.
"",,,,,,,,,,,,,,HELD UP WITH EXTRA
"",,,,,,,,,,,,,,SCREENING FOR BABY MILK
TPA,CMH,878,N7855A,3:49 AM,6:09 AM,6:11 AM,120,5:45 AM,7:11 AM,7:11 AM,86,86,MX02,plane returned to gate MX issue
"",,,,,,,,,,,,,,WAS MEL VERSION 2 SENT
TPA,HAV,3952,N8725L,3:36 AM,4:39 AM,4:41 AM,119,5:40 AM,5:41 AM,5:43 AM,1,3,CM02,LAST MIN CHECK BAG IN J/W.
"",,,,,,,,,,,,,,119 PAX 4 W/Cs ON. 1ST SCAN
"",,,,,,,,,,,,,,0604. LAST SCAN 0623.
TPA,HOU,2606,N8577Z,3:39 AM,3:57 AM,4:13 AM,115,4:45 AM,5:13 AM,5:13 AM,28,28,TR01,Waiting for Capt that was moved
"",,,,,,,,,,,,,,up to arrive; FS 0513; LS 0537;
"",,,,,,,,,,,,,,PWB 0557; 115 PAXs and no gate
"",,,,,,,,,,,,,,chks
